date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:07	33566/33566	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-831e%22	https://clever.webpixels.io/pages/projects/table-view.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/projects/table-view.html	(from https://clever.webpixels.io/)
09:28:07	39816/39816	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-9b88%22	https://clever.webpixels.io/pages/projects/details.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/projects/details.html	(from https://clever.webpixels.io/)
09:28:07	14131/14131	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-3733%22	https://clever.webpixels.io/pages/projects/create-project.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/projects/create-project.html	(from https://clever.webpixels.io/)
09:28:07	29476/29476	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-7324%22	https://clever.webpixels.io/pages/tasks/overview.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/tasks/overview.html	(from https://clever.webpixels.io/)
09:28:08	44004/44004	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-abe4%22	https://clever.webpixels.io/pages/tasks/list-view.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/tasks/list-view.html	(from https://clever.webpixels.io/)
09:28:08	45445/45445	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-b185%22	https://clever.webpixels.io/pages/tasks/list-view-aside.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/tasks/list-view-aside.html	(from https://clever.webpixels.io/)
09:28:08	55089/55089	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-d731%22	https://clever.webpixels.io/pages/tasks/board-view.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/tasks/board-view.html	(from https://clever.webpixels.io/)
09:28:09	21675/21675	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-54ab%22	https://clever.webpixels.io/pages/tasks/create-task.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/tasks/create-task.html	(from https://clever.webpixels.io/)
09:28:09	23190/23190	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-5a96%22	https://clever.webpixels.io/pages/files/overview.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/files/overview.html	(from https://clever.webpixels.io/)
09:28:09	22312/22312	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-5728%22	https://clever.webpixels.io/pages/files/table-view.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/files/table-view.html	(from https://clever.webpixels.io/)
09:28:09	23451/23451	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-5b9b%22	https://clever.webpixels.io/pages/files/media-gallery.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/files/media-gallery.html	(from https://clever.webpixels.io/)
09:28:10	25366/25366	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-6316%22	https://clever.webpixels.io/pages/integrations/applications.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/integrations/applications.html	(from https://clever.webpixels.io/)
09:28:10	20201/20201	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-4ee9%22	https://clever.webpixels.io/pages/integrations/manage-apps.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/integrations/manage-apps.html	(from https://clever.webpixels.io/)
09:28:10	24415/24415	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-5f5f%22	https://clever.webpixels.io/pages/user/profile.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/user/profile.html	(from https://clever.webpixels.io/)
09:28:10	28903/28903	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-70e7%22	https://clever.webpixels.io/pages/user/table-view.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/user/table-view.html	(from https://clever.webpixels.io/)
09:28:11	38251/38251	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-956b%22	https://clever.webpixels.io/pages/user/permissions.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/user/permissions.html	(from https://clever.webpixels.io/)
09:28:11	13768/13768	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-35c8%22	https://clever.webpixels.io/pages/settings/general.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/settings/general.html	(from https://clever.webpixels.io/)
09:28:11	16330/16330	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-3fca%22	https://clever.webpixels.io/pages/settings/security.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/settings/security.html	(from https://clever.webpixels.io/)
09:28:11	15870/15870	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-3dfe%22	https://clever.webpixels.io/pages/settings/team.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/settings/team.html	(from https://clever.webpixels.io/)
09:28:11	16533/16533	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-4095%22	https://clever.webpixels.io/pages/settings/billing.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/settings/billing.html	(from https://clever.webpixels.io/)
09:28:12	15349/15349	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-3bf5%22	https://clever.webpixels.io/pages/settings/notifications.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/settings/notifications.html	(from https://clever.webpixels.io/)
09:28:12	2965/2965	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-b95%22	https://clever.webpixels.io/pages/authentication/basic-login.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/authentication/basic-login.html	(from https://clever.webpixels.io/)
09:28:12	3075/3075	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-c03%22	https://clever.webpixels.io/pages/authentication/basic-register.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/authentication/basic-register.html	(from https://clever.webpixels.io/)
09:28:12	1718/1718	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-6b6%22	https://clever.webpixels.io/pages/authentication/basic-recover.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/authentication/basic-recover.html	(from https://clever.webpixels.io/)
09:28:13	3593/3593	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-e09%22	https://clever.webpixels.io/pages/authentication/side-login.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/authentication/side-login.html	(from https://clever.webpixels.io/)
09:28:13	3631/3631	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-e2f%22	https://clever.webpixels.io/pages/authentication/side-register.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/authentication/side-register.html	(from https://clever.webpixels.io/)
09:28:13	2306/2306	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-902%22	https://clever.webpixels.io/pages/authentication/side-recover.html	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/pages/authentication/side-recover.html	(from https://clever.webpixels.io/)
09:28:13	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Apr%202024%2007:28:14%20GMT	https://clever.webpixels.io/docs	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/docs	(from https://clever.webpixels.io/)
09:28:13	32533/32533	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-7f15%22	https://clever.webpixels.io/docs/	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/docs/index.html	(from https://clever.webpixels.io/)
09:28:14	42679/42679	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-a6b7%22	https://clever.webpixels.io/img/people/img-1.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-1.jpg	(from https://clever.webpixels.io/)
09:28:14	44061/44061	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-ac1d%22	https://clever.webpixels.io/img/people/img-2.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-2.jpg	(from https://clever.webpixels.io/)
09:28:14	39766/39766	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-9b56%22	https://clever.webpixels.io/img/people/img-4.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-4.jpg	(from https://clever.webpixels.io/)
09:28:14	42924/42924	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-a7ac%22	https://clever.webpixels.io/img/people/img-3.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-3.jpg	(from https://clever.webpixels.io/)
09:28:14	3114/3114	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-c2a%22	https://clever.webpixels.io/img/social/airbnb.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/airbnb.svg	(from https://clever.webpixels.io/)
09:28:15	4819/4819	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-12d3%22	https://clever.webpixels.io/img/social/amazon.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/amazon.svg	(from https://clever.webpixels.io/)
09:28:15	2038/2038	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-7f6%22	https://clever.webpixels.io/img/social/bootstrap.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/bootstrap.svg	(from https://clever.webpixels.io/)
09:28:15	2608/2608	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-a30%22	https://clever.webpixels.io/img/social/dribbble.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/dribbble.svg	(from https://clever.webpixels.io/)
09:28:15	3568/3568	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-df0%22	https://clever.webpixels.io/img/social/spotify.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/spotify.svg	(from https://clever.webpixels.io/)
09:28:16	641769/641769	---MCZ	200	added ('OK')	application/javascript	etag:W/%226384e131-9cae9%22	https://clever.webpixels.io/js/main.js	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/js/main.js	(from https://clever.webpixels.io/)
09:28:16	92064/92064	---M--	200	added ('OK')	font/woff2	etag:W/%22167a0-ABUDSebr2vJiivnqTlbWsC29o5M%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/fonts/bootstrap-icons.woff2?30af91bf14e37666a085fb8a161ff36d	C:/My%20Web%20Sites/nyasha_project/cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/fonts/bootstrap-iconsf114.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css)
09:28:16	123384/123384	---M--	200	added ('OK')	font/woff	etag:W/%221e1f8-1kTWG0vHklh1rZU8w4G0pyKzNNI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/fonts/bootstrap-icons.woff?30af91bf14e37666a085fb8a161ff36d	C:/My%20Web%20Sites/nyasha_project/cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/fonts/bootstrap-iconsf114.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css)
09:28:17	8468/8468	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-2114%22	https://clever.webpixels.io/img/social/uber.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/uber.svg	(from https://clever.webpixels.io/pages/projects/grid-view.html)
09:28:17	6033/6033	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-1791%22	https://clever.webpixels.io/img/social/codepen.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/codepen.svg	(from https://clever.webpixels.io/pages/projects/grid-view.html)
09:28:17	3441/3441	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-d71%22	https://clever.webpixels.io/img/social/slack.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/slack.svg	(from https://clever.webpixels.io/pages/projects/grid-view.html)
09:28:17	25746/25746	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-6492%22	https://clever.webpixels.io/img/media/img-3.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-3.jpg	(from https://clever.webpixels.io/pages/projects/details.html)
09:28:18	24318/24318	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-5efe%22	https://clever.webpixels.io/img/media/img-4.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-4.jpg	(from https://clever.webpixels.io/pages/projects/details.html)
09:28:18	12209/12209	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-2fb1%22	https://clever.webpixels.io/img/media/img-5.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-5.jpg	(from https://clever.webpixels.io/pages/projects/details.html)
09:28:18	20228/20228	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-4f04%22	https://clever.webpixels.io/img/media/img-6.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-6.jpg	(from https://clever.webpixels.io/pages/projects/details.html)
09:28:18	48058/48058	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-bbba%22	https://clever.webpixels.io/img/media/img-2.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-2.jpg	(from https://clever.webpixels.io/pages/projects/details.html)
09:28:19	40712/40712	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-9f08%22	https://clever.webpixels.io/img/people/img-5.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-5.jpg	(from https://clever.webpixels.io/pages/tasks/overview.html)
09:28:19	1714/1714	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-6b2%22	https://clever.webpixels.io/img/social/flickr.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/flickr.svg	(from https://clever.webpixels.io/pages/files/overview.html)
09:28:19	86534/86534	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-15206%22	https://clever.webpixels.io/img/media/img-800x800-1.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-800x800-1.jpg	(from https://clever.webpixels.io/pages/files/media-gallery.html)
09:28:19	17722/17722	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-453a%22	https://clever.webpixels.io/img/media/img-800x800-2.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-800x800-2.jpg	(from https://clever.webpixels.io/pages/files/media-gallery.html)
09:28:20	136661/136661	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-215d5%22	https://clever.webpixels.io/img/media/img-800x800-3.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-800x800-3.jpg	(from https://clever.webpixels.io/pages/files/media-gallery.html)
09:28:20	111399/111399	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-1b327%22	https://clever.webpixels.io/img/media/img-800x800-4.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-800x800-4.jpg	(from https://clever.webpixels.io/pages/files/media-gallery.html)
09:28:20	27355/27355	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-6adb%22	https://clever.webpixels.io/img/media/img-800x800-5.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-800x800-5.jpg	(from https://clever.webpixels.io/pages/files/media-gallery.html)
09:28:20	38260/38260	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-9574%22	https://clever.webpixels.io/img/media/img-800x800-6.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-800x800-6.jpg	(from https://clever.webpixels.io/pages/files/media-gallery.html)
09:28:20	70517/70517	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-11375%22	https://clever.webpixels.io/img/media/img-800x800-7.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-800x800-7.jpg	(from https://clever.webpixels.io/pages/files/media-gallery.html)
09:28:21	145703/145703	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-23927%22	https://clever.webpixels.io/img/media/img-800x800-8.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/media/img-800x800-8.jpg	(from https://clever.webpixels.io/pages/files/media-gallery.html)
09:28:21	1568/1568	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-620%22	https://clever.webpixels.io/img/logos/clever-primary-sm.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/logos/clever-primary-sm.svg	(from https://clever.webpixels.io/pages/integrations/applications.html)
09:28:21	5974/5974	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-1756%22	https://clever.webpixels.io/img/social/github.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/github.svg	(from https://clever.webpixels.io/pages/integrations/applications.html)
09:28:21	3114/3114	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-c2a%22	https://clever.webpixels.io/svg/social/airbnb.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/svg/social/airbnb.svg	(from https://clever.webpixels.io/pages/integrations/manage-apps.html)
09:28:22	2038/2038	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-7f6%22	https://clever.webpixels.io/svg/social/bootstrap.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/svg/social/bootstrap.svg	(from https://clever.webpixels.io/pages/integrations/manage-apps.html)
09:28:22	5974/5974	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-1756%22	https://clever.webpixels.io/svg/social/github.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/svg/social/github.svg	(from https://clever.webpixels.io/pages/integrations/manage-apps.html)
09:28:22	3568/3568	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-df0%22	https://clever.webpixels.io/svg/social/spotify.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/svg/social/spotify.svg	(from https://clever.webpixels.io/pages/integrations/manage-apps.html)
09:28:23	45966/45966	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-b38e%22	https://clever.webpixels.io/img/people/img-6.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-6.jpg	(from https://clever.webpixels.io/pages/user/table-view.html)
09:28:24	38428/38428	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-961c%22	https://clever.webpixels.io/img/people/img-7.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-7.jpg	(from https://clever.webpixels.io/pages/user/permissions.html)
09:28:24	42679/42679	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-a6b7%22	https://clever.webpixels.io/img/people/img-8.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-8.jpg	(from https://clever.webpixels.io/pages/user/permissions.html)
09:28:24	3238140/3238140	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-3168fc%22	https://clever.webpixels.io/img/covers/img-profile.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/covers/img-profile.jpg	(from https://clever.webpixels.io/pages/user/profile.html)
09:28:25	39931/39931	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-9bfb%22	https://clever.webpixels.io/img/people/img-10.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-10.jpg	(from https://clever.webpixels.io/pages/user/permissions.html)
09:28:25	49502/49502	---M--	200	added ('OK')	image/jpeg	etag:%226383d9b7-c15e%22	https://clever.webpixels.io/img/people/img-9.jpg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/people/img-9.jpg	(from https://clever.webpixels.io/pages/user/permissions.html)
09:28:25	7738/7738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-1e3a%22	https://clever.webpixels.io/img/cards/visa.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/cards/visa.svg	(from https://clever.webpixels.io/pages/settings/billing.html)
09:28:25	6445/6445	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-192d%22	https://clever.webpixels.io/img/cards/mastercard.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/cards/mastercard.svg	(from https://clever.webpixels.io/pages/settings/billing.html)
09:28:25	2884/2884	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-b44%22	https://clever.webpixels.io/img/social/google.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/social/google.svg	(from https://clever.webpixels.io/pages/authentication/basic-login.html)
09:28:26	3179/3179	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226383d9b7-c6b%22	https://clever.webpixels.io/img/logos/clever-light.svg	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/img/logos/clever-light.svg	(from https://clever.webpixels.io/pages/authentication/side-login.html)
09:28:26	5015/5015	---M-Z	200	added ('OK')	text/css	etag:W/%221397-Ub1wHGkPZ2VJtptv0Xk9y49TvlQ%22	https://cdn.jsdelivr.net/npm/prism-themes@1.7.0/themes/prism-coldark-dark.min.css	C:/My%20Web%20Sites/nyasha_project/cdn.jsdelivr.net/npm/prism-themes@1.7.0/themes/prism-coldark-dark.min.css	(from https://clever.webpixels.io/docs/)
09:28:26	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Apr%202024%2007:28:27%20GMT	https://clever.webpixels.io/docs/styleguide	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/docs/styleguide	(from https://clever.webpixels.io/docs/)
09:28:26	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202024%2007:28:27%20GMT	https://clever.webpixels.io/docs/plugins	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/docs/plugins	(from https://clever.webpixels.io/docs/)
09:28:26	53536/53536	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-d120%22	https://clever.webpixels.io/docs/styleguide/	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/docs/styleguide/index.html	(from https://clever.webpixels.io/docs/)
09:28:27	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Apr%202024%2007:28:27%20GMT	https://clever.webpixels.io/docs/customize	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/docs/customize	(from https://clever.webpixels.io/docs/)
09:28:27	14730/14730	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-398a%22	https://clever.webpixels.io/docs/customize/	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/docs/customize/index.html	(from https://clever.webpixels.io/docs/)
09:28:27	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Apr%202024%2007:28:27%20GMT	https://clever.webpixels.io/docs/about	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/docs/about	(from https://clever.webpixels.io/docs/)
09:28:27	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css)
09:28:28	12620/12620	---MCZ	200	added ('OK')	text/html	etag:W/%226384e4a7-314c%22	https://clever.webpixels.io/docs/about/	C:/My%20Web%20Sites/nyasha_project/clever.webpixels.io/docs/about/index.html	(from https://clever.webpixels.io/docs/)
